Code,Sub-Code,Circumstance,Type,
1101,,Dermatitis (inflammation of the skin),Occupational Skin Diseases or Disorders,
1102,,Eczema - inflammation of the skin characterized by the formation of vesicles (blisters) which may be either acute or chronic,Occupational Skin Diseases or Disorders,
1103,,Rash caused by primary irritants and sensitizers or poisonous plants,Occupational Skin Diseases or Disorders,
1104,,"Oil acne - sometimes known as oil folliculitis, it is an inflammation of the hair follicles caused by depositing of oil into them, resulting in inflammation, swelling, redness and pus formation",Occupational Skin Diseases or Disorders,
1105,,"Chrome ulcers - pitted sores of the skin that are slow or resistant to healing, caused by exposure to chromium salts",Occupational Skin Diseases or Disorders,
1107,,Other occupational skin diseases or disorders,Occupational Skin Diseases or Disorders,
1109,,DEATH resulting from occupational skin diseases or disorders,Occupational Skin Diseases or Disorders,
1111,,Silicosis - caused by the depositing of dust containing free silica into the lung,Dust Diseases of the Lungs (Pneumoconioses),
1112,,Asbestosis - caused by the presence of asbestos in the lung,Dust Diseases of the Lungs (Pneumoconioses),
1113,,Coal worker's pneumoconiosis (formerly known as black lung) - caused by the depositing of coal dust in the lung,Dust Diseases of the Lungs (Pneumoconioses),
1114,,Byssinosis (formerly known as brown lung) - caused by the depositing of cotton dust in the lung,Dust Diseases of the Lungs (Pneumoconioses),
1115,,"Pneumoconioses, other.  Other lung diseases characterized by the presence of dust in the lungs and the lungs reaction to that dust.",Dust Diseases of the Lungs (Pneumoconioses),
1119,,DEATH resulting from dust diseases of the lungs,Dust Diseases of the Lungs (Pneumoconioses),
1121,,Pneumonitis - inflammation of the lungs,Respiratory Conditions Due to Toxic Agents,
1122,,Pharyngitis - inflammation of the throat,Respiratory Conditions Due to Toxic Agents,
1123,,Rhinitis - inflammation of the nose,Respiratory Conditions Due to Toxic Agents,
1124,,"Acute congestion due to chemicals, dust, gases, or fumes",Respiratory Conditions Due to Toxic Agents,
1125,,Farmers lung,Respiratory Conditions Due to Toxic Agents,
1126,,Other respiratory conditions due to toxic agents,Respiratory Conditions Due to Toxic Agents,
1129,,DEATH resulting from respiratory conditions due to toxic agents,Respiratory Conditions Due to Toxic Agents,
1131,,"Poisoning by lead, mercury, cadmium, arsenic, or other metals",Poisoning (Systemic Effects of Toxic Materials),
1132,,"Poisoning by carbon monoxide, hydrogen sulfide or other gases",Poisoning (Systemic Effects of Toxic Materials),
